c:\sys\ut\rpn\rpn.py -l120 -E -a3010 1 5000 range lambda 2 x ** next_prime 2 x ** - eval 1 enumerate -s1
[
    [ 1047, 803 ],
    [ 1048, 463 ],
    [ 1049, 47 ],
    [ 1050, 595 ],
    [ 1051, 1515 ],
    [ 1052, 1215 ],
    [ 1053, 215 ],
    [ 1054, 475 ],
    [ 1055, 51 ],
    [ 1056, 1123 ],
    [ 1057, 1529 ],
    [ 1058, 1657 ],
    [ 1059, 119 ],
    [ 1060, 295 ],
    [ 1061, 1479 ],
    [ 1062, 273 ],
    [ 1063, 521 ],
    [ 1064, 483 ],
    [ 1065, 149 ],
    [ 1066, 27 ],
    [ 1067, 999 ],
    [ 1068, 1215 ],
    [ 1069, 227 ],
    [ 1070, 163 ],
    [ 1071, 693 ],
    [ 1072, 1113 ],
    [ 1073, 567 ],
    [ 1074, 1215 ],
    [ 1075, 473 ],
    [ 1076, 531 ],
    [ 1077, 611 ],
    [ 1078, 207 ],
    [ 1079, 515 ],
    [ 1080, 451 ],
    [ 1081, 651 ],
    [ 1082, 225 ],
    [ 1083, 2543 ],
    [ 1084, 67 ],
    [ 1085, 981 ],
    [ 1086, 2313 ],
    [ 1087, 35 ],
    [ 1088, 1591 ],
    [ 1089, 407 ],
    [ 1090, 609 ],
    [ 1091, 1133 ],
    [ 1092, 93 ],
    [ 1093, 689 ],
    [ 1094, 2077 ],
    [ 1095, 225 ],
    [ 1096, 207 ],
    [ 1097, 119 ],
    [ 1098, 39 ],
    [ 1099, 1035 ],
    [ 1100, 2191 ],
    [ 1101, 485 ],
    [ 1102, 147 ],
    [ 1103, 203 ],
    [ 1104, 913 ],
    [ 1105, 2499 ],
    [ 1106, 565 ],
    [ 1107, 2271 ],
